Gender,PROGN,IMMIG,LANGN,REPEAT,FAMSUP,ESCS,municipality_size,degree_of_competition,external_evaluation,math_grouping,additional_math_classes,track_student_attendance,SCHLTYPE,SCHSIZE,PROATCE,PROPSUPP,INSTLEAD,RATCMP1,STAFFSHORT,STUBEHA,TEACHBEHA,CLSIZE,SCSUPRTED,PROBSCRI,DIGPREP,SCHAUTO_ORDINAL,EDUSHORT_binned
Female,Vocational,Native student,Other,Never repeated,-0.8663,-1.5912,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Native student,Italian,Never repeated,0.5842,-0.2807,,,,,,,Public,,,,,,,,,,,,,,
Male,Vocational,Native student,Italian,Never repeated,-0.0539,0.0603,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Other,Never repeated,-0.7797,-0.8982,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Other,Never repeated,,-0.5156,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Other,Never repeated,,-0.644,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Native student,Italian,Repeated at lease once,0.1049,-0.7588,,,,,,,Public,,,,,,,,,,,,,,
Male,Vocational,Immig student,Italian,Never repeated,-0.242,-0.3857,,,,,,,Public,,,,,,,,,,,,,,
Male,Vocational,Native student,Italian,Repeated at lease once,,0.4155,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Native student,Other,Never repeated,-0.2073,0.9164,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Native student,Other,Never repeated,0.6141,-1.0706,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Other,Never repeated,,-1.5967,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Italian,Never repeated,0.4992,-2.3091,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Native student,Italian,Never repeated,,-0.3924,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Other,Never repeated,0.7782,-0.602,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Other,Never repeated,-1.0908,-0.5597,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Italian,Never repeated,-0.5226,-0.1149,,,,,,,Public,,,,,,,,,,,,,,
Male,Vocational,Native student,Other,Repeated at lease once,,-1.0565,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Italian,Repeated at lease once,,-1.2541,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Native student,Italian,Never repeated,,0.4192,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Other,Never repeated,-0.0597,-0.6688,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Native student,Other,Repeated at lease once,,-1.9365,,,,,,,Public,,,,,,,,,,,,,,
Male,Vocational,Native student,Italian,Repeated at lease once,0.2465,-1.0251,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Native student,Italian,Repeated at lease once,-1.2328,0.3208,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Other,Repeated at lease once,-1.2315,-0.8092,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Other,Never repeated,,-1.8894,,,,,,,Public,,,,,,,,,,,,,,
Male,Vocational,Native student,Italian,Repeated at lease once,1.7166,-1.0054,,,,,,,Public,,,,,,,,,,,,,,
Male,Vocational,Native student,Italian,Never repeated,-0.1784,-0.6054,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Other,Repeated at lease once,0.0702,-1.0601,,,,,,,Public,,,,,,,,,,,,,,
Female,Vocational,Immig student,Other,Repeated at lease once,,-2.0098,,,,,,,Public,,,,,,,,,,,,,,
Male,Academic,Native student,Other,Never repeated,0.5875,1.167,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
Female,Academic,Native student,Other,Never repeated,-0.2692,1.2894,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2.0,Middle
