schoolID,studentID,Gender,PROGN,IMMIG,LANGN,REPEAT,BELONG,BULLIED,PERSEVAGR,COOPAGR,STRESAGR,EMOCOAGR,FAMSUP,ANXMAT,ESCS,PV1MATH,municipality_size,degree_of_competition,external_evaluation,math_grouping,additional_math_classes,track_student_attendance,SCHLTYPE,SCHSIZE,PROATCE,PROPSUPP,INSTLEAD,RATCMP1,STAFFSHORT,STUBEHA,TEACHBEHA,CLSIZE,SCSUPRTED,PROBSCRI,DIGPREP,SCHAUTO_ORDINAL,EDUSHORT_binned
38000165.0,38000001.0,Female,Vocational,Native student,Other,Never repeated,-0.8618,1.0616,0.2139,0.3456,-0.9691,-0.0479,-0.8663,0.544,-1.5912,405.606,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38000854.0,Female,Vocational,Native student,Italian,Never repeated,-0.0397,0.4674,0.0568,0.1059,-1.6833,-1.1878,0.5842,1.5409,-0.2807,358.923,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38001888.0,Male,Vocational,Native student,Italian,Never repeated,0.5119,0.1361,-5.3072,-0.9594,0.2033,0.8837,-0.0539,1.0112,0.0603,345.816,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38002036.0,Female,Vocational,Immig student,Other,Never repeated,-0.7225,0.7604,-0.2463,0.1568,-0.5283,-0.5903,-0.7797,0.6387,-0.8982,377.687,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38003018.0,Female,Vocational,Immig student,Other,Never repeated,-0.1965,0.8325,0.0261,-0.3668,0.1621,-0.5878,,0.7774,-0.5156,251.353,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38004112.0,Female,Vocational,Immig student,Other,Never repeated,0.0425,-0.1325,1.2997,-0.7755,1.2871,1.1458,,,-0.644,276.152,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38004501.0,Female,Vocational,Native student,Italian,Repeated at lease once,,-1.228,-1.2652,-0.0219,0.5637,-0.2983,0.1049,-1.6826,-0.7588,357.518,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38004801.0,Male,Vocational,Immig student,Italian,Never repeated,-0.4375,-0.3264,-0.5255,0.1117,0.5551,0.2141,-0.242,2.5078,-0.3857,371.026,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38005230.0,Male,Vocational,Native student,Italian,Repeated at lease once,-1.1903,-1.228,-0.0402,-0.0162,,,,,0.4155,408.454,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38005393.0,Female,Vocational,Native student,Other,Never repeated,-0.3397,1.0459,-0.6361,-0.3994,-0.0883,-0.1498,-0.2073,0.8251,0.9164,349.709,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38006211.0,Female,Vocational,Native student,Other,Never repeated,0.8273,-1.228,1.8381,3.6769,0.4483,0.9935,0.6141,0.1748,-1.0706,412.288,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38006255.0,Female,Vocational,Immig student,Other,Never repeated,-0.5481,1.0681,0.7239,0.74,0.0213,,,0.1931,-1.5967,242.82,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38006867.0,Female,Vocational,Immig student,Italian,Never repeated,0.0311,-0.391,-0.6184,-0.6415,-0.5309,-0.3993,0.4992,1.4533,-2.3091,359.852,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38007650.0,Female,Vocational,Native student,Italian,Never repeated,-2.3814,1.0135,-0.0257,-0.9799,-1.1219,-1.1347,,-0.0394,-0.3924,377.227,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38007881.0,Female,Vocational,Immig student,Other,Never repeated,-0.4375,0.4394,-0.4348,-0.5283,-0.059,0.5101,0.7782,-0.8811,-0.602,486.416,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38008146.0,Female,Vocational,Immig student,Other,Never repeated,-0.6458,-0.3264,,,,0.0884,-1.0908,0.1931,-0.5597,301.575,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38008277.0,Female,Vocational,Immig student,Italian,Never repeated,-1.1045,1.2758,-0.9174,-0.1402,0.2504,-0.3034,-0.5226,1.0508,-0.1149,375.807,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38008525.0,Male,Vocational,Native student,Other,Repeated at lease once,0.8273,0.0198,-0.4078,0.139,-0.1346,-0.3245,,0.602,-1.0565,340.708,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38008585.0,Female,Vocational,Immig student,Italian,Repeated at lease once,-0.338,-0.391,-0.2506,-0.3422,-0.0583,-0.5445,,-0.6243,-1.2541,445.703,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38009159.0,Female,Vocational,Native student,Italian,Never repeated,-0.7838,1.2765,-0.3905,1.0751,-4.3346,-0.3549,,0.429,0.4192,284.518,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38009406.0,Female,Vocational,Immig student,Other,Never repeated,-0.338,-1.228,-0.5454,-0.0917,0.2047,0.5772,-0.0597,0.133,-0.6688,391.926,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38010253.0,Female,Vocational,Native student,Other,Repeated at lease once,-1.2477,0.5381,2.1846,1.3122,-3.2347,-1.6022,,1.4533,-1.9365,377.144,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38010404.0,Male,Vocational,Native student,Italian,Repeated at lease once,-0.8575,0.8421,0.1407,0.4192,0.2824,1.3998,0.2465,-0.3744,-1.0251,344.685,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38011008.0,Female,Vocational,Native student,Italian,Repeated at lease once,-0.1879,0.7416,-0.3688,-0.1565,-0.2036,0.2311,-1.2328,-1.6297,0.3208,424.559,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38011097.0,Female,Vocational,Immig student,Other,Repeated at lease once,-1.1314,1.9548,-1.5144,-1.2556,-0.8234,,-1.2315,1.1606,-0.8092,244.252,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38011852.0,Female,Vocational,Immig student,Other,Never repeated,0.2272,-1.228,0.4536,3.6994,0.0557,0.0518,,2.5026,-1.8894,344.534,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38012595.0,Male,Vocational,Native student,Italian,Repeated at lease once,2.1143,-1.228,1.5156,1.7259,-0.5307,-0.9674,1.7166,-1.1715,-1.0054,362.06,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38013990.0,Male,Vocational,Native student,Italian,Never repeated,0.3249,-0.3264,-0.3594,1.607,1.1687,-0.6043,-0.1784,0.6387,-0.6054,432.785,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38014931.0,Female,Vocational,Immig student,Other,Repeated at lease once,1.1471,-1.228,0.5842,0.6558,-1.498,-1.2185,0.0702,1.0508,-1.0601,354.509,,,,,,,Public,,,,,,,,,,,,,,
38000165.0,38014980.0,Female,Vocational,Immig student,Other,Repeated at lease once,-0.4814,-1.228,-0.337,-0.7325,0.4705,0.3021,,,-2.0098,405.066,,,,,,,Public,,,,,,,,,,,,,,
38000035.0,38000003.0,Male,Academic,Native student,Other,Never repeated,0.7289,-1.228,0.5411,0.3808,-1.4313,-1.93,0.5875,-1.2756,1.167,568.857,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38000023.0,Female,Academic,Native student,Other,Never repeated,0.5214,-1.228,-1.248,-0.0481,-4.1334,-2.7673,-0.2692,-2.3558,1.2894,567.446,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38000166.0,Female,Academic,Native student,Other,Repeated at lease once,-0.044,1.5565,-1.0346,1.2238,-1.0406,-1.117,0.2311,1.1417,1.1034,435.045,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
38000035.0,38000382.0,Female,Academic,Native student,Other,Never repeated,-0.6485,-0.267,0.7653,-1.1214,0.2558,-0.1144,-1.3722,2.6109,0.2222,469.963,A city (100 000 to about 1 000 000 people),There are two or more other schools in this area that compete for our students.,"Yes, this is mandatory, e.g. based on district or ministry policies",For some classes,Yes,Yes,Public,712.0,0.6983,0.1304,-0.966,0.5714,0.8242,-0.7165,0.4883,16-20 students,Some support from education authorities,0.7965,-0.4675,2,Middle
