schoolID,studentID,Gender,GRADE,ISCEDP,IMMIG,LANGN,REPEAT,FAMSUP,TEACHSUP,SCHSUST,PROBSELF,HISCED,HOMEPOS,ESCS,PV1MATH,municipality_size,disadvantaged_students,external_evaluation,math_grouping,SCHLTYPE,SCHSIZE,PROATCE,STRATIO,SMRATIO,PROPSUPP,SCHAUTO,INSTLEAD,RATCMP1,STAFFSHORT,EDUSHORT,STUBEHA,TEACHBEHA,CLSIZE,SCSUPRTED,PROBSCRI,DIGPREP
38000165.0,38000001.0,Female,0.0,2,Native student,Other,Never repeated,-0.8663,-1.3627,-0.7818,0.1793,3.0,-0.0463,-1.5912,405.606,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38000854.0,Female,0.0,2,Native student,Italian,Never repeated,0.5842,0.8211,0.397,1.295,7.0,0.2304,-0.2807,358.923,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38001888.0,Male,0.0,2,Native student,Italian,Never repeated,-0.0539,0.4357,-1.2617,0.7678,9.0,-0.6494,0.0603,345.816,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38002036.0,Female,0.0,2,Second-Generation student,Other,Never repeated,-0.7797,-0.1002,-0.175,1.2542,5.0,-0.3075,-0.8982,377.687,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38003018.0,Female,-1.0,2,Second-Generation student,Other,Never repeated,,-0.8059,,,10.0,-0.6396,-0.5156,251.353,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38004112.0,Female,-1.0,2,First-Generation student,Other,Never repeated,,1.5558,,,7.0,-1.004,-0.644,276.152,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38004501.0,Female,-1.0,2,Native student,Italian,Repeated at lease once,0.1049,-0.1002,-0.7528,0.3006,4.0,0.1774,-0.7588,357.518,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38004801.0,Male,0.0,2,Second-Generation student,Italian,Never repeated,-0.242,-1.3627,,,4.0,-0.4523,-0.3857,371.026,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38005230.0,Male,-1.0,2,Native student,Italian,Repeated at lease once,,,,,9.0,0.0323,0.4155,408.454,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38005393.0,Female,0.0,2,Native student,Other,Never repeated,-0.2073,-0.8059,,,7.0,0.7606,0.9164,349.709,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38006211.0,Female,0.0,2,Native student,Other,Never repeated,0.6141,1.5558,2.7384,1.5904,5.0,-0.5835,-1.0706,412.288,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38006255.0,Female,0.0,2,Second-Generation student,Other,Never repeated,,,,,6.0,-1.6879,-1.5967,242.82,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38006867.0,Female,0.0,2,,Italian,Never repeated,0.4992,-1.0693,0.0352,0.6477,3.0,-0.9172,-2.3091,359.852,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38007650.0,Female,0.0,2,Native student,Italian,Never repeated,,0.1475,,,7.0,0.2936,-0.3924,377.227,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38007881.0,Female,0.0,2,Second-Generation student,Other,Never repeated,0.7782,-0.1002,0.892,0.9542,7.0,-0.3382,-0.602,486.416,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38008146.0,Female,0.0,2,Second-Generation student,Other,Never repeated,-1.0908,-0.3322,-0.8439,0.0259,6.0,-0.8275,-0.5597,301.575,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38008277.0,Female,0.0,2,Second-Generation student,Italian,Never repeated,-0.5226,0.1475,-0.4537,0.4984,9.0,0.0113,-0.1149,375.807,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38008525.0,Male,-1.0,2,Native student,Other,Repeated at lease once,,-0.3322,,1.1278,4.0,-0.4124,-1.0565,340.708,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38008585.0,Female,-1.0,2,Second-Generation student,Italian,Repeated at lease once,,-0.5635,,,4.0,-1.08,-1.2541,445.703,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38009159.0,Female,0.0,2,Native student,Italian,Never repeated,,-0.3322,,,8.0,-0.2554,0.4192,284.518,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38009406.0,Female,0.0,2,Second-Generation student,Other,Never repeated,-0.0597,0.8211,0.2534,0.3716,8.0,-1.1796,-0.6688,391.926,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38010253.0,Female,-1.0,2,Native student,Other,Repeated at lease once,,1.5558,,,3.0,-1.2202,-1.9365,377.144,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38010404.0,Male,-1.0,2,Native student,Italian,Repeated at lease once,0.2465,-0.5635,-0.0377,-0.2693,3.0,0.1346,-1.0251,344.685,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38011008.0,Female,-1.0,2,Native student,Italian,Repeated at lease once,-1.2328,1.5558,,,10.0,-0.0691,0.3208,424.559,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38011097.0,Female,-1.0,2,Second-Generation student,Other,Repeated at lease once,-1.2315,-1.7015,-1.6934,2.7403,9.0,-1.3556,-0.8092,244.252,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38011852.0,Female,0.0,2,First-Generation student,Other,Never repeated,,-1.0693,,,5.0,-1.8439,-1.8894,344.534,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38012595.0,Male,-1.0,2,Native student,Italian,Repeated at lease once,1.7166,0.4357,,,4.0,-0.2917,-1.0054,362.06,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38013990.0,Male,0.0,2,Native student,Italian,Never repeated,-0.1784,-0.3322,0.7863,0.7181,7.0,-0.2759,-0.6054,432.785,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38014931.0,Female,-1.0,2,First-Generation student,Other,Repeated at lease once,0.0702,-0.1002,0.9765,0.6534,7.0,-0.9626,-1.0601,354.509,,,,,Public,,,,,,,,,,,,,,,,
38000165.0,38014980.0,Female,-1.0,2,Second-Generation student,Other,Repeated at lease once,,,,,5.0,-1.2139,-2.0098,405.066,,,,,Public,,,,,,,,,,,,,,,,
38000035.0,38000003.0,Male,0.0,3,Native student,Other,Never repeated,0.5875,-0.1002,-0.4155,-0.3231,10.0,0.5608,1.167,568.857,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38000023.0,Female,0.0,3,Native student,Other,Never repeated,-0.2692,-0.1002,-0.0752,0.2601,9.0,1.3059,1.2894,567.446,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38000166.0,Female,-1.0,3,Native student,Other,Repeated at lease once,0.2311,-0.5635,-0.3252,0.6705,10.0,0.8666,1.1034,435.045,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38000382.0,Female,0.0,3,Native student,Other,Never repeated,-1.3722,-2.1346,-0.6544,0.1962,5.0,0.1205,0.2222,469.963,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38000595.0,Male,0.0,3,Native student,Other,Never repeated,0.2685,-1.0693,-0.1067,0.5367,5.0,0.6508,0.0114,576.092,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38000765.0,Female,0.0,3,,Other,Never repeated,0.1952,-0.3322,-0.9745,-0.6561,6.0,0.0571,-0.2142,463.628,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38002871.0,Female,0.0,3,Native student,Other,Never repeated,-1.0077,-1.7015,-0.779,1.064,5.0,0.5636,0.3595,509.386,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38003024.0,Female,0.0,3,Native student,Other,Never repeated,0.6532,0.8211,-0.2123,-0.3173,5.0,-0.0248,-0.3374,519.545,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38003234.0,Female,0.0,3,Native student,Other,Never repeated,0.0292,0.1475,-0.3653,-0.4394,8.0,1.215,1.0342,520.715,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38003643.0,Male,0.0,3,Native student,Other,Never repeated,0.1361,-1.0693,-0.2338,1.2702,10.0,0.7492,1.1286,586.943,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38004119.0,Female,0.0,3,Native student,Other,Never repeated,-1.3441,-1.7015,-1.0879,0.4689,5.0,-0.0518,-0.9038,486.871,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38004522.0,Female,0.0,3,Native student,Other,Never repeated,-0.3941,0.2729,-0.7402,-0.8735,5.0,0.2197,0.0937,497.863,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38004750.0,Female,0.0,3,Native student,Other,Never repeated,-0.1555,0.4357,0.7839,-0.9635,4.0,0.4132,0.1857,549.865,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38004763.0,Female,0.0,3,Native student,Other,Never repeated,-0.2889,0.1475,-0.6421,1.126,10.0,-0.5594,-0.0106,548.701,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38005474.0,Male,0.0,3,Native student,Other,Never repeated,0.9304,0.8211,-0.0385,-0.3136,5.0,-0.2116,-0.5166,441.376,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38006675.0,Female,0.0,3,Native student,Other,Never repeated,-0.1129,-0.1002,-0.0634,-1.121,10.0,0.1593,0.7859,483.356,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
38000035.0,38006984.0,Female,0.0,3,Native student,Other,Never repeated,-1.0794,-0.3322,0.6539,0.0663,9.0,0.0533,0.3579,429.389,A city (100 000 to about 1 000 000 people),20.0,"Yes, this is mandatory, e.g. based on district or ministry policies",2.0,Public,712.0,0.6983,7.9553,94.9333,0.1304,-0.6449,-0.966,0.5714,0.8242,0.265,-0.7165,0.4883,2.0,2.0,0.7965,-0.4675
